"geneid","strand","fiveprime","threeprime"
"PITG_03599","+",1209,1985
"PITG_03600","-",307,1985
"PITG_06843","-",1665,31526
"PITG_03601","+",307,429
"PITG_03602","+",429,350
"PITG_03604","-",165,350
"PITG_03603","+",350,165
"PITG_03606","-",185,236
"PITG_03605","+",165,236
"PITG_03608","-",154,83
"PITG_03607","+",185,83
"PITG_03609","+",154,619
"PITG_03610","-",1458,619
"PITG_03611","-",500,1458
"PITG_00128","+",184,801
"PITG_06844","-",1709,1665
"PITG_03612","-",287,500
"PITG_03614","-",307,116
"PITG_03613","+",287,116
"PITG_03615","+",307,642
"PITG_03616","+",642,84
"PITG_03617","-",123,84
"PITG_03618","-",3306,123
"PITG_03619","-",2662,3306
"PITG_03621","-",381,96
"PITG_03620","+",2662,96
"PITG_03622","+",381,249
"PITG_03624","-",390,274
"PITG_03623","+",249,274
"PITG_03625","-",965,390
"PITG_03626","-",154,965
"PITG_03627","-",550,154
"PITG_03628","+",550,934
"PITG_03629","+",934,159
"PITG_03630","+",159,576
"PITG_06846","-",306,145
"PITG_06845","+",1709,145
"PITG_03631","+",576,225
"PITG_03632","-",273,225
"PITG_03634","-",485,75
"PITG_03633","+",273,75
"PITG_03635","+",485,535
"PITG_03636","-",614,535
"PITG_03637","+",614,7751
"PITG_03639","-",2236,10234
"PITG_03638","+",7751,10234
"PITG_03641","-",148,191
"PITG_03640","+",2236,191
"PITG_03643","-",615,176
"PITG_03642","+",148,176
"PITG_03644","+",615,192
"PITG_03645","-",220,192
"PITG_03646","+",220,145
"PITG_03647","-",577,145
"PITG_03648","+",577,4321
"PITG_03649","+",4321,143349
"PITG_03650","-",10143,143349
"PITG_06848","-",70,32
"PITG_06847","+",306,32
"PITG_03651","+",10143,1017
"PITG_03652","+",1017,423
"PITG_03654","-",59,106
"PITG_03653","+",423,106
"PITG_03655","-",156,59
"PITG_03656","-",1129,156
"PITG_03657","-",511,1129
"PITG_03658","-",248,511
"PITG_03660","-",360,273
"PITG_03659","+",248,273
"PITG_03661","-",690,360
"PITG_03662","+",690,17416
"PITG_03663","+",17416,2446
"PITG_03664","-",472,2446
"PITG_03665","-",6977,472
"PITG_03666","-",29018,6977
"PITG_03669","-",1632,29018
"PITG_03671","-",460,1632
"PITG_03670","+",1632,460
"PITG_03672","+",460,71
"PITG_03673","-",178,71
"PITG_06850","-",749,176
"PITG_06849","+",70,176
"PITG_03675","-",237,1143
"PITG_03674","+",178,1143
"PITG_03676","-",1352,237
"PITG_03677","+",1352,1407
"PITG_03678","+",1407,1655
"PITG_03679","+",1655,834
"PITG_03681","-",63,97
"PITG_03680","+",834,97
"PITG_03682","+",63,698
"PITG_03683","+",698,67
"PITG_03685","-",35864,67
"PITG_03684","+",67,35864
"PITG_03688","+",35864,9326
"PITG_03690","-",20,9326
"PITG_03691","+",20,83
"PITG_03692","-",398,83
"PITG_03693","-",793,398
"PITG_03694","+",793,683
"PITG_03695","+",683,89
"PITG_03696","-",279,89
"PITG_03697","+",279,20
"PITG_03698","-",16221,20
"PITG_06852","-",256,496
"PITG_06851","+",749,496
"PITG_03700","-",7901,16221
"PITG_03702","-",109,35
"PITG_03701","+",7901,35
"PITG_03703","+",109,74
"PITG_03704","-",26243,74
"PITG_03707","+",26243,83
"PITG_03708","-",2139,83
"PITG_03709","+",2139,296
"PITG_03710","+",296,210
"PITG_03711","+",210,3989
"PITG_03712","+",3989,152
"PITG_03713","-",228,152
"PITG_03714","-",115,228
"PITG_03715","+",115,408
"PITG_03716","+",408,101
"PITG_03717","-",312,101
"PITG_03718","-",444,312
"PITG_03719","-",54634,444
"PITG_03723","-",1297,54634
"PITG_03721","-",1297,54634
"PITG_03722","+",54634,1297
"PITG_00130","-",662,298
"PITG_00129","+",801,298
"PITG_06853","+",256,681
"PITG_03724","+",1297,1255
"PITG_03726","-",9324,927
"PITG_03725","+",1255,927
"PITG_03729","+",9324,1927
"PITG_03730","+",1927,37
"PITG_03731","+",37,25533
"PITG_03732","+",25533,377
"PITG_03733","+",377,2105
"PITG_03734","+",2105,137
"PITG_03735","+",137,86
"PITG_06854","+",681,312
"PITG_03736","+",86,291
"PITG_03737","-",3726,291
"PITG_03738","+",3726,105
"PITG_03739","-",3079,105
"PITG_03740","+",3079,22620
"PITG_03741","+",22620,768
"PITG_03742","+",768,180
"PITG_03743","+",180,188
"PITG_03744","-",24,188
"PITG_03746","-",2458,27
"PITG_03745","+",24,27
"PITG_06855","+",312,67
"PITG_06856","-",9079,67
"PITG_03747","-",2989,2458
"PITG_03748","+",2989,175
"PITG_03750","-",2362,3533
"PITG_03749","+",175,3533
"PITG_03751","+",2362,458
"PITG_03752","-",240,458
"PITG_03754","-",85,240
"PITG_03755","-",294,85
"PITG_03753","+",240,85
"PITG_03756","+",294,285
"PITG_06859","-",7663,9079
"PITG_03757","+",285,252
"PITG_03758","-",488,252
"PITG_03759","+",488,2102
"PITG_03760","+",2102,169
"PITG_03761","-",265,169
"PITG_03763","-",161,297
"PITG_03762","+",265,297
"PITG_03764","+",161,497
"PITG_03765","-",7444,497
"PITG_03767","-",185,61
"PITG_03766","+",7444,61
"PITG_03769","-",2252,91
"PITG_03768","+",185,91
"PITG_03770","+",2252,73
"PITG_03771","+",73,53
"PITG_03772","-",1269,53
"PITG_03773","+",1269,292
"PITG_03775","-",1427,340
"PITG_03774","+",292,340
"PITG_03776","-",339,1427
"PITG_03777","-",180,339
"PITG_06860","+",7663,892
"PITG_03779","-",270,424
"PITG_03778","+",180,424
"PITG_03780","+",270,198
"PITG_03782","-",308,276
"PITG_03781","+",198,276
"PITG_03783","-",136,308
"PITG_03784","+",136,3179
"PITG_03786","+",3179,20551
"PITG_03789","-",118,151
"PITG_03788","+",20551,151
"PITG_06861","+",892,283
"PITG_06862","-",2119,283
"PITG_03790","+",118,138
"PITG_03791","+",138,468
"PITG_03793","-",85,264
"PITG_03792","+",468,264
"PITG_03794","-",67,85
"PITG_03795","-",96,67
"PITG_03797","-",2125,1142
"PITG_03796","+",96,1142
"PITG_03798","-",100,2125
"PITG_03799","-",111,100
"PITG_06863","-",544,2119
"PITG_03800","+",111,2885
"PITG_03801","+",2885,51
"PITG_03802","-",414,51
"PITG_03804","-",83759,91
"PITG_03803","+",414,91
"PITG_03806","+",83759,7221
"PITG_03807","+",7221,17251
"PITG_03808","+",17251,10537
"PITG_03810","+",10537,30059
"PITG_06864","-",15954,544
"PITG_03811","+",30059,836
"PITG_03812","+",836,41
"PITG_03813","-",542,41
"PITG_03814","+",542,467
"PITG_03816","-",298,71
"PITG_03815","+",467,71
"PITG_03818","-",147,451
"PITG_03817","+",298,451
"PITG_03820","-",127,1438
"PITG_03819","+",147,1438
"PITG_03821","-",86,127
"PITG_03822","-",142,86
"PITG_03823","-",1667,142
"PITG_03824","-",587,1667
"PITG_03825","+",587,184
"PITG_03826","-",175,184
"PITG_03827","+",175,162
"PITG_03828","-",1558,162
"PITG_03829","+",1558,671
"PITG_03830","+",671,377
"PITG_03831","-",244,377
"PITG_06865","+",15954,45291
"PITG_03832","+",244,42448
"PITG_03833","+",42448,1129
"PITG_03834","+",1129,451
"PITG_03835","+",451,104
"PITG_03836","-",130,104
"PITG_03837","+",130,425
"PITG_03838","+",425,4239
"PITG_03839","+",4239,468
"PITG_03840","-",320,468
"PITG_03841","-",267,320
"PITG_06867","+",45291,101
"PITG_06868","-",102,101
"PITG_03843","-",55,267
"PITG_03842","+",267,55
"PITG_03844","+",55,298
"PITG_03845","-",70199,298
"PITG_03846","+",70199,584
"PITG_22719","-",18042,584
"PITG_03850","+",18042,254
"PITG_03852","-",184,394
"PITG_03851","+",254,394
"PITG_03854","-",669,601
"PITG_03853","+",184,601
"PITG_06869","-",3122,102
"PITG_22720","-",361,669
"PITG_03855","-",169,361
"PITG_03856","-",165,169
"PITG_03857","-",190,165
"PITG_03858","+",190,159
"PITG_03860","-",11310,159
"PITG_03862","-",414,11310
"PITG_03859","+",159,11310
"PITG_03864","-",150,60
"PITG_03863","+",414,60
"PITG_03865","+",150,38
"PITG_03867","-",171,408
"PITG_03866","+",38,408
"PITG_03869","-",218,7
"PITG_03868","+",171,7
"PITG_03870","-",302,218
"PITG_03871","+",302,211
"PITG_03872","-",624,211
"PITG_03873","-",227,624
"PITG_03874","+",227,297
"PITG_06870","+",3122,2648
"PITG_03876","-",186,101
"PITG_03875","+",297,101
"PITG_03878","-",125,126
"PITG_03877","+",186,126
"PITG_03879","-",268,125
"PITG_03881","-",425,353
"PITG_03880","+",268,353
"PITG_03883","-",298,202
"PITG_03882","+",425,202
"PITG_03884","+",298,35
"PITG_03885","-",245,35
"PITG_06871","+",2648,24533
"PITG_06872","-",8945,24533
"PITG_03886","-",222,245
"PITG_03887","-",952,222
"PITG_03888","+",952,892
"PITG_03889","+",892,116
"PITG_03890","-",278,116
"PITG_03891","+",278,279
"PITG_03892","+",279,183834
"PITG_03897","-",1182,183834
"PITG_03898","+",1182,233
"PITG_03899","+",233,25
"PITG_03900","-",169,25
"PITG_03901","-",292,169
"PITG_03902","-",181,292
"PITG_03903","+",181,166
"PITG_03905","-",268,1291
"PITG_03904","+",166,1291
"PITG_03907","-",742,0
"PITG_03906","+",268,0
"PITG_03909","-",233,742
"PITG_03910","-",236,233
"PITG_03908","+",742,233
"PITG_06874","-",2472,18443
"PITG_06873","+",8945,18443
"PITG_03911","-",927,236
"PITG_03912","+",927,3788
"PITG_03914","+",3788,798
"PITG_03915","-",254,798
"PITG_03916","+",254,83
"PITG_03917","+",83,790
"PITG_03918","-",88,790
"PITG_03919","+",88,279
"PITG_03920","+",279,1258
"PITG_06876","-",109,2472
"PITG_03921","+",1258,1118
"PITG_03922","+",1118,9726
"PITG_22721","-",369,9726
"PITG_03923","+",369,231
"PITG_03924","+",231,126
"PITG_03925","+",126,1247
"PITG_03926","+",1247,11425
"PITG_03927","+",11425,3726
"PITG_03929","-",1582,3726
"PITG_03930","-",478,1582
"PITG_06877","-",119,109
"PITG_03931","+",478,125
"PITG_03932","-",417,125
"PITG_03933","-",2530,417
"PITG_03934","-",8757,2530
"PITG_03935","+",8757,2808
"PITG_03936","-",219,2808
"PITG_03937","+",219,180
"PITG_03938","+",180,159
"PITG_03939","-",735,159
"PITG_03940","+",735,74
"PITG_03941","-",227,74
"PITG_00132","-",21210,470
"PITG_00131","+",662,470
"PITG_03942","+",227,598
"PITG_03943","-",1469,598
"PITG_03944","+",1469,820
"PITG_03945","-",83,820
"PITG_03946","+",83,22
"PITG_03947","-",267,22
"PITG_03948","+",267,647
"PITG_03949","+",647,735
"PITG_03950","-",404,735
"PITG_03951","-",300,404
"PITG_06878","+",119,112
"PITG_03952","-",646,300
"PITG_03953","+",646,31475
"PITG_03954","+",31475,398
"PITG_03956","-",792,118
"PITG_03955","+",398,118
"PITG_03958","-",387,306
"PITG_03957","+",792,306
"PITG_03959","+",387,27104
"PITG_03960","-",1930,27104
"PITG_03961","-",64873,1930
"PITG_06879","+",112,48
"PITG_06880","-",1237,48
"PITG_03965","+",64873,227
"PITG_03966","+",227,170
"PITG_03967","+",170,582
"PITG_03968","+",582,94
"PITG_03969","+",94,65
"PITG_03970","+",65,16
"PITG_03971","-",220,16
"PITG_03972","-",252,220
"PITG_03973","+",252,246
"PITG_06881","-",22504,1237
"PITG_03975","-",6992,358
"PITG_03974","+",246,358
"PITG_03977","+",6992,176
"PITG_03979","-",146,158
"PITG_03978","+",176,158
"PITG_03980","-",28130,146
"PITG_03983","+",28130,28422
"PITG_03984","+",28422,1106
"PITG_03985","+",1106,4547
"PITG_03986","-",1887,4547
"PITG_06884","-",120,22504
"PITG_03988","-",663,160
"PITG_03987","+",1887,160
"PITG_03989","-",150,663
"PITG_03990","+",150,267
"PITG_03991","+",267,2896
"PITG_03992","+",2896,1240
"PITG_03994","-",706,88
"PITG_03993","+",1240,88
"PITG_03995","+",706,313
"PITG_03996","+",313,448
"PITG_03998","-",235,498
"PITG_03997","+",448,498
"PITG_03999","+",235,83
"PITG_04000","-",153,83
"PITG_04002","-",121,236
"PITG_04001","+",153,236
"PITG_04003","-",318,121
"PITG_04005","-",190607,192
"PITG_04004","+",318,192
"PITG_04006","-",116253,190607
"PITG_06885","+",120,66
"PITG_04010","+",116253,201
"PITG_04011","+",201,78305
"PITG_04012","+",78305,240
"PITG_15637","-",205,110650
"PITG_15638","+",205,717
"PITG_15639","+",717,595
"PITG_15640","-",184,595
"PITG_15641","+",184,401
"PITG_15642","+",401,71147
"PITG_15644","-",2386,71147
"PITG_06887","-",686,326
"PITG_06886","+",66,326
"PITG_15645","-",6646,2386
"PITG_23337","-",31076,6646
"PITG_15648","-",441,31076
"PITG_15651","-",1618,8064
"PITG_15649","+",441,8064
"PITG_15653","-",189,263
"PITG_15652","+",1618,263
"PITG_15654","+",189,403
"PITG_15656","-",334,111
"PITG_15655","+",403,111
"PITG_15658","-",44373,14941
"PITG_15657","+",334,14941
"PITG_15659","-",715,44373
"PITG_15660","+",715,363
"PITG_15661","+",363,9876
"PITG_15662","+",9876,58837
"PITG_15665","+",58837,23112
"PITG_15667","-",2505,91
"PITG_15666","+",23112,91
"PITG_15668","-",2485,2505
"PITG_06888","+",686,476
"PITG_15669","+",2485,1024
"PITG_15670","+",1024,1764
"PITG_15671","+",1764,673
"PITG_15672","+",673,1017
"PITG_15673","+",1017,2168
"PITG_15674","+",2168,262
"PITG_15675","-",415,262
"PITG_15676","-",14290,415
"PITG_15678","-",44043,1879
"PITG_15677","+",14290,1879
"PITG_06889","+",476,82
"PITG_15679","-",14097,44043
"PITG_15680","-",28,14097
"PITG_15681","-",285,28
"PITG_15682","-",11259,285
"PITG_15685","-",1388,11259
"PITG_15686","-",2112,1388
"PITG_15688","-",53826,351
"PITG_15687","+",2112,351
"PITG_15689","-",2238,53826
"PITG_06890","+",82,43
"PITG_15690","+",2238,14310
"PITG_15693","-",19889,27534
"PITG_15691","+",14310,27534
"PITG_15695","-",157,19889
"PITG_15694","+",19889,157
"PITG_15697","-",1673,257
"PITG_15696","+",157,257
"PITG_15698","+",1673,10431
"PITG_15701","+",10431,1962
"PITG_15702","+",1962,2589
"PITG_15703","-",8239,2589
"PITG_06892","-",378,151
"PITG_06891","+",43,151
"PITG_23058","+",8239,630
"PITG_15706","-",447,390
"PITG_15704","+",630,390
"PITG_15705","+",390,447
"PITG_15707","+",447,13733
"PITG_15708","+",13733,16736
"PITG_15711","+",16736,792
"PITG_15712","-",9243,792
"PITG_23059","-",18820,9243
"PITG_15714","+",18820,28701
"PITG_15716","+",28701,1044
"PITG_15717","+",1044,7577
"PITG_15719","-",27612,41964
"PITG_15718","+",7577,41964
"PITG_15721","+",27612,4301
"PITG_15722","-",153,4301
"PITG_15723","+",153,16112
"PITG_15726","+",16112,13887
"PITG_15727","+",13887,13455
"PITG_15728","-",21570,13455
"PITG_15731","+",21570,2331
"PITG_15732","-",17050,2331
"PITG_06894","-",156,136
"PITG_06893","+",378,136
"PITG_15734","+",17050,3118
"PITG_15735","-",1311,3118
"PITG_15736","-",95,1311
"PITG_15738","-",3039,129
"PITG_15737","+",95,129
"PITG_15739","-",136,3039
"PITG_15740","-",51565,136
"PITG_15744","+",51565,2140
"PITG_23060","-",10263,2140
"PITG_15745","+",10263,848
"PITG_15746","+",848,980
"PITG_15747","+",980,257
"PITG_15748","+",257,63
"PITG_15749","-",40234,63
"PITG_15753","+",40234,14732
"PITG_15754","+",14732,5233
"PITG_15757","-",1865,20556
"PITG_15755","+",5233,20556
"PITG_15758","+",1865,579
"PITG_06895","+",156,138
"PITG_15759","+",579,12053
"PITG_15762","-",1298,400
"PITG_15761","+",12053,400
"PITG_15763","-",2258,1298
"PITG_15764","-",21387,2258
"PITG_23061","-",2790,21387
"PITG_15769","+",2790,8276
"PITG_15770","-",1333,8276
"PITG_15772","-",2694,3
"PITG_15771","+",1333,3
"PITG_15773","-",277,2694
"PITG_06896","+",138,333
"PITG_06897","-",21593,333
"PITG_15774","-",20301,277
"PITG_15776","+",20301,2393
"PITG_15778","-",475,866
"PITG_15777","+",2393,866
"PITG_15779","+",475,68
"PITG_15781","-",20577,26
"PITG_15780","+",68,26
"PITG_15782","-",1208,20577
"PITG_15783","-",117,1208
"PITG_15784","+",117,226
"PITG_15785","-",1199,226
"PITG_15786","+",1199,1134
"PITG_15787","+",1134,39762
"PITG_15790","-",406,39762
"PITG_15791","-",437,406
"PITG_15792","-",3552,437
"PITG_15793","+",3552,2843
"PITG_15794","+",2843,5140
"PITG_15795","+",5140,4020
"PITG_06899","-",770,289
"PITG_06898","+",21593,289
"PITG_21417","+",NA,3985
"PITG_21418","+",3985,35344
"PITG_15978","-",73280,3749
"PITG_15980","+",73280,21203
"PITG_15981","+",21203,170
"PITG_15982","-",431,170
"PITG_15983","+",431,22218
"PITG_15985","+",22218,32454
"PITG_23063","+",32454,10588
"PITG_15987","-",461,10588
"PITG_00134","-",167,360
"PITG_00133","+",21210,360
"PITG_06900","-",1582,770
"PITG_15988","-",56913,461
"PITG_15992","-",4912,280
"PITG_15991","+",56913,280
"PITG_23064","-",15581,4912
"PITG_15993","+",15581,510
"PITG_15994","+",510,18577
"PITG_15996","+",18577,21913
"PITG_15998","+",21913,318
"PITG_15999","-",1204,318
"PITG_16001","-",103,71
"PITG_16000","+",1204,71
"PITG_16002","+",103,334
"PITG_16003","+",334,401
"PITG_16004","-",411,401
"PITG_16006","-",12627,411
"PITG_16005","+",411,12627
"PITG_16007","+",12627,20277
"PITG_16009","-",843,373
"PITG_16008","+",20277,373
"PITG_16010","-",11019,843
"PITG_06902","-",223,172
"PITG_06901","+",1582,172
"PITG_16013","-",2494,562
"PITG_16012","+",11019,562
"PITG_16014","+",2494,2909
"PITG_16015","+",2909,467
"PITG_16016","+",467,387
"PITG_16017","+",387,213
"PITG_16018","-",19348,213
"PITG_16022","-",116,299
"PITG_16020","+",19348,299
"PITG_16021","+",299,116
"PITG_16023","+",116,154
"PITG_16024","-",6037,154
"PITG_16025","+",6037,15803
"PITG_16026","+",15803,18879
"PITG_16031","+",18879,25823
"PITG_16033","+",25823,648
"PITG_16034","+",648,32308
"PITG_23065","-",982,32308
"PITG_23066","-",827,982
"PITG_16037","-",3100,605
"PITG_16036","+",827,605
"PITG_16038","-",1787,3100
"PITG_06903","+",223,195
"PITG_16039","+",1787,923
"PITG_16041","-",1321,64
"PITG_16040","+",923,64
"PITG_16042","-",726,1321
"PITG_16043","-",3697,726
"PITG_16044","+",3697,16307
"PITG_16046","-",1716,16307
"PITG_16048","-",18451,4244
"PITG_16047","+",1716,4244
"PITG_06904","+",195,119
"PITG_16050","-",5682,7098
"PITG_16049","+",18451,7098
"PITG_16052","-",2434,5682
"PITG_16054","-",444,74
"PITG_16053","+",2434,74
"PITG_16056","-",371,99
"PITG_16055","+",444,99
"PITG_16058","-",1119,293
"PITG_16057","+",371,293
"PITG_16059","+",1119,92
"PITG_16060","-",164,92
"PITG_06905","+",119,3
"PITG_06906","-",2021,3
"PITG_16061","-",440,164
"PITG_16062","-",93,440
"PITG_16063","+",93,484
"PITG_16064","+",484,792
"PITG_16066","-",100,18
"PITG_16065","+",792,18
"PITG_16067","+",18,100
"PITG_16068","-",267,100
"PITG_16069","+",267,605
"PITG_16071","-",9647,605
"PITG_16070","+",605,9647
"PITG_16072","-",118,9647
"PITG_16073","-",182,118
"PITG_16074","-",278,182
"PITG_16076","-",244,2673
"PITG_16075","+",278,2673
"PITG_16078","-",304,2256
"PITG_16077","+",244,2256
"PITG_16079","+",304,3161
"PITG_16080","-",4378,3161
"PITG_16081","+",4378,6268
"PITG_06908","-",122,107
"PITG_06907","+",2021,107
"PITG_16083","+",6268,276
"PITG_16084","-",494,276
"PITG_16085","+",494,78841
"PITG_16088","+",78841,643
"PITG_16090","-",272,112
"PITG_16089","+",643,112
"PITG_16091","-",570,272
"PITG_16092","+",570,2212
"PITG_16093","+",2212,2379
"PITG_16094","-",446,2379
"PITG_16095","-",391,446
"PITG_06909","-",269,122
"PITG_16096","+",391,202
"PITG_16097","-",183,202
"PITG_16098","+",183,1903
"PITG_16099","+",1903,396
"PITG_16100","+",396,407
"PITG_16101","+",407,49
"PITG_16102","-",382,49
"PITG_16103","+",382,224
"PITG_16104","+",224,3092
"PITG_06910","-",165,269
"PITG_16105","+",3092,68965
"PITG_16107","+",68965,554
"PITG_16108","-",2708,554
"PITG_23068","-",178,2708
"PITG_23067","-",178,2708
"PITG_16110","-",931,178
"PITG_16111","-",105,931
"PITG_16113","-",100,69
"PITG_16112","+",105,69
"PITG_16114","-",1355,100
"PITG_16115","-",87,1355
"PITG_16117","-",1853,288
"PITG_16116","+",87,288
"PITG_16118","-",91013,1853
"PITG_16120","-",1838,91013
"PITG_16121","-",15839,1838
"PITG_16122","-",2080,15839
"PITG_16123","+",2080,162
"PITG_16124","-",5328,162
"PITG_16125","-",8996,5328
"PITG_16126","-",38502,8996
"PITG_06911","+",165,2426
"PITG_16127","+",38502,159
"PITG_16128","-",729,159
"PITG_16129","+",729,7965
"PITG_16131","+",7965,255
"PITG_16132","-",5155,255
"PITG_16134","-",5244,1236
"PITG_16133","+",5155,1236
"PITG_16135","-",20558,5244
"PITG_16136","-",2414,20558
"PITG_16138","-",70862,253
"PITG_16137","+",2414,253
"PITG_06912","+",2426,176
"PITG_16142","-",1560,70862
"PITG_16143","+",1560,7109
"PITG_16144","+",7109,536
"PITG_16145","-",22586,536
"PITG_16148","+",22586,496
"PITG_16149","-",433,496
"PITG_16150","+",433,36761
"PITG_16152","+",36761,1790
"PITG_16153","+",1790,329
"PITG_16154","-",967,329
"PITG_06914","-",142,69
"PITG_06913","+",176,69
"PITG_16155","+",967,17860
"PITG_16157","-",28928,709
"PITG_16156","+",17860,709
"PITG_21723","+",NA,961
"PITG_21724","-",1865,961
"PITG_21725","+",1865,7853
"PITG_21726","+",7853,522
"PITG_21727","+",522,6591
"PITG_21728","-",NA,6591
"PITG_15519","-",84825,322
"PITG_15518","+",NA,322
"PITG_15523","+",84825,38744
"PITG_15526","-",4267,444
"PITG_15525","+",38744,444
"PITG_15528","-",257,4267
"PITG_15529","+",257,120
"PITG_15530","+",120,99475
"PITG_15531","-",18670,99475
"PITG_15533","+",18670,8931
"PITG_15534","+",8931,16377
"PITG_06915","+",142,39
"PITG_06916","-",59,39
"PITG_15535","+",16377,3170
"PITG_15536","+",3170,13244
"PITG_15537","-",31010,13244
"PITG_15538","+",31010,51269
"PITG_15539","+",51269,920
"PITG_15540","+",920,982
"PITG_15541","+",982,1126
"PITG_15542","+",1126,24
"PITG_15543","+",24,3087
"PITG_15544","+",3087,329
"PITG_06917","-",470,59
"PITG_15545","+",329,1344
"PITG_15546","+",1344,2037
"PITG_15547","-",7638,2037
"PITG_15548","-",632,7638
"PITG_15549","-",27216,632
"PITG_15550","-",5464,27216
"PITG_15551","-",13726,5464
"PITG_15552","-",421,13726
"PITG_15553","-",3069,421
"PITG_15554","+",3069,373
"PITG_06918","-",2402,470
"PITG_15555","+",373,71156
"PITG_15556","+",71156,50442
"PITG_15563","+",50442,83801
"PITG_15564","+",83801,494
"PITG_15565","+",494,142
"PITG_15566","+",142,16
"PITG_15567","-",431,16
"PITG_15568","-",387,431
"PITG_15569","+",387,286
"PITG_15570","+",286,205
"PITG_15571","-",388,205
"PITG_15572","+",388,2014
"PITG_15573","-",7955,2014
"PITG_15574","+",7955,51565
"PITG_15575","+",51565,2159
"PITG_15576","+",2159,251
"PITG_15577","+",251,40358
"PITG_15582","+",40358,3900
"PITG_15584","-",32044,3900
"PITG_15587","+",32044,212
"PITG_15588","-",62468,212
"PITG_00135","+",167,3049
"PITG_06919","+",2402,297
"PITG_15590","+",62468,31700
"PITG_15593","+",31700,7948
"PITG_15595","-",2246,7948
"PITG_15596","+",2246,40464
"PITG_23057","-",11169,40464
"PITG_15597","-",3113,11169
"PITG_15598","-",1718,3113
"PITG_15599","+",1718,398
"PITG_15600","+",398,410
"PITG_06920","+",297,31
"PITG_15601","+",410,1239
"PITG_15602","+",1239,1774
"PITG_15603","+",1774,923
"PITG_15604","-",2118,923
"PITG_15605","-",1222,2118
"PITG_15606","-",500,1222
"PITG_15607","+",500,1504
"PITG_15609","-",108,511
"PITG_15608","+",1504,511
"PITG_15610","-",3145,108
"PITG_06921","+",31,779
"PITG_15611","+",3145,41073
"PITG_15616","-",713,1
"PITG_15615","+",41073,1
"PITG_15617","-",542,713
"PITG_15618","+",542,20748
"PITG_15619","+",20748,22226
"PITG_15620","-",1154,22226
"PITG_15621","+",1154,181
"PITG_15622","-",30973,181
"PITG_15623","+",30973,372
"PITG_06923","-",150,432
"PITG_06922","+",779,432
"PITG_15624","+",372,324
"PITG_15625","-",231,324
"PITG_15627","-",494,135
"PITG_15626","+",231,135
"PITG_15628","+",494,735
"PITG_15629","-",511,735
"PITG_15630","-",NA,511
"PITG_21761","+",NA,376
"PITG_21762","-",853,376
"PITG_21764","-",277,853
"PITG_21763","+",853,277
"PITG_21766","-",439,277
"PITG_21767","-",NA,439
"PITG_21765","+",277,439
"PITG_22598","+",NA,347
"PITG_21568","-",47490,596
"PITG_21495","-",NA,45586
"PITG_21590","+",NA,349
"PITG_21591","-",NA,349
"PITG_16161","+",NA,4865
"PITG_16162","+",4865,24874
"PITG_16163","-",6160,24874
"PITG_16164","+",6160,40592
"PITG_16167","-",32264,40592
"PITG_16168","-",801,32264
"PITG_06924","+",150,265
"PITG_16169","-",11015,801
"PITG_16170","-",960,11015
"PITG_16171","+",960,2355
"PITG_16172","+",2355,21613
"PITG_16173","+",21613,21767
"PITG_16176","-",3437,21767
"PITG_16177","+",3437,12464
"PITG_16178","+",12464,5253
"PITG_16179","+",5253,923
"PITG_16180","-",4429,923
"PITG_06926","-",782,862
"PITG_06925","+",265,862
"PITG_16181","+",4429,2070
"PITG_16182","+",2070,608
"PITG_16183","+",608,120
"PITG_16184","+",120,38340
"PITG_16189","-",3609,80312
"PITG_16188","+",38340,80312
"PITG_16190","+",3609,105
"PITG_16191","-",28632,105
"PITG_16193","+",28632,28141
"PITG_16194","-",1825,28141
"PITG_06927","-",954,782
"PITG_16195","-",20652,1825
"PITG_16198","-",247,20652
"PITG_16199","-",351,247
"PITG_16197","+",20652,247
"PITG_16200","-",161,351
"PITG_16201","-",13915,161
"PITG_16202","-",1454,13915
"PITG_16203","-",2708,1454
"PITG_16204","-",18233,2708
"PITG_16205","-",167,18233
"PITG_16206","-",233,167
"PITG_06928","-",29507,954
"PITG_16207","+",233,430
"PITG_16208","-",1194,430
"PITG_16209","-",191,1194
"PITG_16210","+",191,348
"PITG_16212","-",555,201
"PITG_16211","+",348,201
"PITG_16213","-",584,555
"PITG_16214","+",584,1367
"PITG_16215","+",1367,12271
"PITG_16221","+",12271,1066
"PITG_16222","-",261,1066
"PITG_16223","-",178,261
"PITG_16224","+",178,88
"PITG_16225","-",995,88
"PITG_16227","-",17037,226
"PITG_16226","+",995,226
"PITG_16228","-",41577,17037
"PITG_16230","-",53121,41577
"PITG_16233","+",53121,601
"PITG_16234","-",1510,601
"PITG_00136","+",3049,567
"PITG_06929","+",29507,296
"PITG_16235","-",22879,1510
"PITG_23069","-",583,22879
"PITG_16239","+",583,24971
"PITG_16240","+",24971,507
"PITG_16241","-",2937,507
"PITG_16242","-",30095,2937
"PITG_16243","-",30825,30095
"PITG_16245","+",30825,537
"PITG_16246","-",633,537
"PITG_06930","+",296,292
"PITG_06931","-",696,292
"PITG_16248","-",102576,24710
"PITG_16247","+",633,24710
"PITG_16256","-",1140,102576
"PITG_16257","-",14767,1140
"PITG_16258","-",12190,14767
"PITG_16259","-",546,12190
"PITG_16260","-",5162,546
"PITG_16261","+",5162,4087
"PITG_16262","+",4087,659
"PITG_16263","-",362,659
"PITG_16264","+",362,31806
